Plant,Material,Description,Unrestr.Stock,UOM,Open Cust Ord,Total Open Delv,Open Prod Ord,Open Purch Ord,Open STO,In Transit,Net Available,Current Tons,Safety Stock,Max Stock Lvl,Planning Material,Restric Stock,Blocked Stock,In Qual.Insp (Restr.),Material Group,Outer Diameter,Plant Name,Wall Thickness,City,State,Country,Pincode,Full Location,Material Type,Weekly Forecast,Days of Supply Available,Organisation,Sub Category,Material Category,Column1,,,,,,,,,,,
1600,07039,3      ELBOW RIGID 30 DEG 36  RAD,0.215,TON,0.000,0.000,0.000,0.000,0.000,0.000,0.215,0.215,0.000,0.000,,0.000,0.000,0.000,59,3.500,Cambridge,0.0000,Cambridge,OH,USA,72315,"Cambridge, OH, USA",Elbow Blanks,0.00,0.00,Manufacturing Plants,Elbow Blanks,,1600070393      ELBOW RIGID 30 DEG 36  RAD,,,,,,,,,,,
3200,07041,4      ELBOW RIGID 30 DEG 36  RAD,0.020,TON,0.000,0.000,0.000,0.000,0.000,0.000,0.020,0.020,0.000,0.000,R04000208-C1012H,0.000,0.000,0.000,59,4.500,Nelson and Associates,0.0000,Santa Fe Springs,CA,USA,90670,"Santa Fe Springs, CA, USA",Elbow Blanks,0.00,0.00,Wheatland,Elbow Blanks,,3200070414      ELBOW RIGID 30 DEG 36  RAD,,,,,,,,,,,
1600,07041,4      ELBOW RIGID 30 DEG 36  RAD,0.642,TON,0.000,0.000,0.000,0.000,0.000,0.000,0.642,0.642,0.341,0.000,,0.000,0.000,0.000,59,4.500,Cambridge,0.0000,Cambridge,OH,USA,72315,"Cambridge, OH, USA",Elbow Blanks,0.34,0.05,Manufacturing Plants,Elbow Blanks,,1600070414      ELBOW RIGID 30 DEG 36  RAD,,,,,,,,,,,
3130,07042,5      ELBOW RIGID 30 DEG 36  RAD,0.037,TON,0.000,0.000,0.000,0.000,0.000,0.000,0.037,0.037,0.000,0.000,,0.000,0.000,0.000,59,5.563,Carter York Agency,0.0000,Charlotte,NC,USA,28202,"Charlotte, NC, USA",Elbow Blanks,0.00,0.00,Wheatland,Elbow Blanks,,3130070425      ELBOW RIGID 30 DEG 36  RAD,,,,,,,,,,,
1600,07042,5      ELBOW RIGID 30 DEG 36  RAD,0.475,TON,0.000,0.000,0.000,0.000,0.000,0.000,0.475,0.475,0.110,0.000,,0.000,0.000,0.000,59,5.563,Cambridge,0.0000,Cambridge,OH,USA,72315,"Cambridge, OH, USA",Elbow Blanks,0.11,0.02,Manufacturing Plants,Elbow Blanks,,1600070425      ELBOW RIGID 30 DEG 36  RAD,,,,,,,,,,,
4180,07042,5      ELBOW RIGID 30 DEG 36  RAD,0.000,TON,0.000,0.000,0.000,0.000,0.000,0.110,0.110,0.110,0.000,0.000,,0.000,0.000,0.000,59,5.563,"Electrical Lines, Inc",0.0000,Aurora,CO,USA,80012,"Aurora, CO, USA",Elbow Blanks,0.00,0.00,Wheatland,Elbow Blanks,,4180070425      ELBOW RIGID 30 DEG 36  RAD,,,,,,,,,,,
1600,07043,6      ELBOW RIGID 30 DEG 36  RAD,1.323,TON,0.000,0.588,0.000,0.000,0.000,0.000,0.735,0.735,0.245,0.000,R06625253-C1010H,0.000,0.000,0.000,59,6.625,Cambridge,0.0000,Cambridge,OH,USA,72315,"Cambridge, OH, USA",Elbow Blanks,0.25,0.04,Manufacturing Plants,Elbow Blanks,,1600070436      ELBOW RIGID 30 DEG 36  RAD,,,,,,,,,,,
1600,07045,5      ELBOW RIGID 15 DEG 36  RAD,0.000,TON,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.348,0.000,R05563225-C1010H,0.000,0.000,0.000,59,5.563,Cambridge,0.0000,Cambridge,OH,USA,72315,"Cambridge, OH, USA",Elbow Blanks,0.35,0.05,Manufacturing Plants,Elbow Blanks,,1600070455      ELBOW RIGID 15 DEG 36  RAD,,,,,,,,,,,
1600,07050,6      ELBOW RIGID 15 DEG 36  RAD,0.147,TON,0.000,0.000,0.000,0.000,0.000,0.000,0.147,0.147,0.000,0.000,R06625253-C1010H,0.000,0.000,0.000,59,0.000,Cambridge,0.0000,Cambridge,OH,USA,72315,"Cambridge, OH, USA",Elbow Blanks,0.00,0.00,Manufacturing Plants,Elbow Blanks,,1600070506      ELBOW RIGID 15 DEG 36  RAD,,,,,,,,,,,
1600,07063,1      ELBOW RIGID 45 DEG 36  RAD,0.005,TON,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.005,0.000,0.000,R01315107-C1012H,0.000,0.000,0.000,59,1.315,Cambridge,0.0000,Cambridge,OH,USA,72315,"Cambridge, OH, USA",Elbow Blanks,0.00,0.00,Manufacturing Plants,Elbow Blanks,,1600070631      ELBOW RIGID 45 DEG 36  RAD,,,,,,,,,,,
1600,07064,1 1/4  ELBOW RIGID 45 DEG 36  RAD,0.033,TON,0.000,0.000,0.000,0.000,0.000,0.000,0.033,0.033,0.000,0.000,R01660116-C1012H,0.000,0.000,0.000,59,1.660,Cambridge,0.0000,Cambridge,OH,USA,72315,"Cambridge, OH, USA",Elbow Blanks,0.00,0.00,Manufacturing Plants,Elbow Blanks,,1600070641 1/4  ELBOW RIGID 45 DEG 36  RAD,,,,,,,,,,,
1600,07065,1 1/2  ELBOW RIGID 45 DEG 36  RAD,0.053,TON,0.000,0.000,0.000,0.000,0.000,0.000,0.053,0.053,0.000,0.000,R00840100-C1012H,0.000,0.000,0.000,59,1.900,Cambridge,0.0000,Cambridge,OH,USA,72315,"Cambridge, OH, USA",Elbow Blanks,0.00,0.00,Manufacturing Plants,Elbow Blanks,,1600070651 1/2  ELBOW RIGID 45 DEG 36  RAD,,,,,,,,,,,
3200,07066,2      ELBOW RIGID 45 DEG 36  RAD,0.007,TON,0.000,0.000,0.000,0.035,0.000,0.000,0.042,0.007,0.014,0.000,,0.000,0.000,0.000,59,2.375,Nelson and Associates,0.0000,Santa Fe Springs,CA,USA,90670,"Santa Fe Springs, CA, USA",Elbow Blanks,0.01,0.00,Wheatland,Elbow Blanks,,3200070662      ELBOW RIGID 45 DEG 36  RAD,,,,,,,,,,,
2900,07066,2      ELBOW RIGID 45 DEG 36  RAD,1.317,TON,0.000,0.000,0.000,0.000,0.000,0.000,1.317,1.317,0.603,0.000,,0.000,0.000,0.000,59,2.375,Auburn Warehouse,0.0000,Auburn,WA,USA,98002,"Auburn, WA, USA",Elbow Blanks,0.60,0.09,Zekelman Warehouse,Elbow Blanks,,2900070662      ELBOW RIGID 45 DEG 36  RAD,,,,,,,,,,,
3440,07066,2      ELBOW RIGID 45 DEG 36  RAD,0.520,TON,0.000,0.000,0.000,0.000,0.000,0.000,0.520,0.520,0.333,0.000,,0.000,0.000,0.000,59,2.375,Robert A. Amey Co.,0.0000,Portland,OR,USA,97201,"Portland, OR, USA",Elbow Blanks,0.33,0.05,Wheatland,Elbow Blanks,,3440070662      ELBOW RIGID 45 DEG 36  RAD,,,,,,,,,,,
1600,07066,2      ELBOW RIGID 45 DEG 36  RAD,0.069,TON,0.000,0.139,1.060,0.000,0.035,0.000,0.955,-0.105,0.610,0.000,,0.000,0.000,0.000,59,2.375,Cambridge,0.0000,Cambridge,OH,USA,72315,"Cambridge, OH, USA",Elbow Blanks,0.61,0.09,Manufacturing Plants,Elbow Blanks,,1600070662      ELBOW RIGID 45 DEG 36  RAD,,,,,,,,,,,
